filename,xmin,ymin,xmax,ymax,class
./data/images/000000000143.jpg,426,192,558,368,bird
./data/images/000000000143.jpg,128,104,223,271,bird
./data/images/000000000143.jpg,265,126,365,289,bird
./data/images/000000000143.jpg,243,271,340,391,bird
./data/images/000000000143.jpg,114,319,206,480,bird
./data/images/000000000143.jpg,35,20,131,153,bird
./data/images/000000000143.jpg,120,237,234,371,bird
./data/images/000000000143.jpg,468,320,562,475,bird
./data/images/000000000520.jpg,300,140,332,160,bird
./data/images/000000000520.jpg,230,131,264,145,bird
./data/images/000000000520.jpg,449,217,467,235,bird
./data/images/000000000520.jpg,0,187,23,203,bird
./data/images/000000000520.jpg,444,174,466,190,bird
./data/images/000000000520.jpg,599,178,618,189,bird
./data/images/000000000520.jpg,97,194,133,217,bird
./data/images/000000000520.jpg,155,184,181,196,bird
./data/images/000000000813.jpg,88,98,305,247,bird
./data/images/000000000813.jpg,432,108,610,268,bird
./data/images/000000000813.jpg,165,117,363,249,bird
./data/images/000000001103.jpg,178,219,222,245,bird
./data/images/000000001103.jpg,111,219,157,244,bird
./data/images/000000001103.jpg,260,218,304,243,bird
./data/images/000000001103.jpg,263,250,298,267,bird
./data/images/000000001103.jpg,309,256,332,267,bird
./data/images/000000001103.jpg,350,215,390,236,bird
./data/images/000000001103.jpg,296,219,334,239,bird
./data/images/000000001103.jpg,182,246,208,258,bird
./data/images/000000001103.jpg,214,217,242,242,bird
./data/images/000000001166.jpg,60,76,72,82,bird
./data/images/000000001515.jpg,185,124,216,133,bird
./data/images/000000001561.jpg,275,133,340,206,bird
./data/images/000000001777.jpg,432,134,541,356,bird
./data/images/000000001912.jpg,242,308,310,383,bird
./data/images/000000001912.jpg,293,210,325,256,bird
./data/images/000000001912.jpg,141,162,163,210,bird
./data/images/000000001912.jpg,320,189,353,228,bird
./data/images/000000001912.jpg,609,126,636,167,bird
./data/images/000000001912.jpg,541,309,597,370,bird
./data/images/000000001912.jpg,446,87,493,133,bird
./data/images/000000001912.jpg,389,96,437,141,bird
./data/images/000000001912.jpg,426,68,502,94,bird
./data/images/000000001912.jpg,190,100,215,141,bird
./data/images/000000001912.jpg,571,45,588,83,bird
./data/images/000000001912.jpg,279,66,299,108,bird
./data/images/000000001912.jpg,151,57,639,144,bird
./data/images/000000001948.jpg,70,234,260,535,bird
./data/images/000000002142.jpg,271,280,296,327,bird
./data/images/000000002142.jpg,197,291,272,349,bird
./data/images/000000002142.jpg,32,312,117,377,bird
./data/images/000000002142.jpg,470,296,499,358,bird
./data/images/000000002142.jpg,399,248,414,272,bird
./data/images/000000002142.jpg,307,241,348,271,bird
./data/images/000000002142.jpg,269,254,293,268,bird
./data/images/000000002142.jpg,189,258,207,277,bird
./data/images/000000002142.jpg,45,186,133,254,bird
./data/images/000000002142.jpg,168,294,204,343,bird
./data/images/000000002142.jpg,288,257,321,289,bird
./data/images/000000002142.jpg,341,268,379,316,bird
./data/images/000000002142.jpg,117,256,134,276,bird
./data/images/000000002142.jpg,63,249,90,274,bird
./data/images/000000002142.jpg,286,293,353,367,bird
./data/images/000000002142.jpg,0,3,499,387,bird
./data/images/000000002209.jpg,149,88,179,110,bird
./data/images/000000002209.jpg,171,81,199,100,bird
./data/images/000000002209.jpg,149,138,164,146,bird
./data/images/000000002209.jpg,144,99,174,123,bird
./data/images/000000002209.jpg,134,120,161,136,bird
./data/images/000000002209.jpg,121,133,144,145,bird
./data/images/000000002209.jpg,161,134,186,144,bird
./data/images/000000002209.jpg,118,125,141,136,bird
./data/images/000000002209.jpg,145,115,172,131,bird
./data/images/000000002209.jpg,156,139,167,145,bird
./data/images/000000002209.jpg,288,263,291,270,bird
./data/images/000000003040.jpg,163,118,428,362,bird
./data/images/000000003249.jpg,257,92,449,400,bird
./data/images/000000003305.jpg,127,84,372,352,bird
./data/images/000000003386.jpg,215,202,478,473,bird
./data/images/000000003389.jpg,189,90,430,379,bird
./data/images/000000003389.jpg,86,170,336,352,bird
./data/images/000000003517.jpg,143,220,342,529,bird
./data/images/000000004283.jpg,79,92,588,339,bird
./data/images/000000004647.jpg,48,50,558,423,bird
./data/images/000000004901.jpg,167,164,349,262,bird
./data/images/000000004901.jpg,373,176,512,351,bird
./data/images/000000004901.jpg,342,190,439,268,bird
./data/images/000000004901.jpg,2,114,28,148,bird
./data/images/000000004901.jpg,75,155,128,210,bird
./data/images/000000005259.jpg,248,283,335,440,bird
./data/images/000000005259.jpg,86,159,236,318,bird
./data/images/000000005356.jpg,474,268,498,280,bird
./data/images/000000005564.jpg,53,157,265,355,bird
./data/images/000000005564.jpg,265,97,533,204,bird
./data/images/000000005595.jpg,244,423,307,554,bird
./data/images/000000005595.jpg,279,279,354,522,bird
./data/images/000000005595.jpg,231,317,281,538,bird
./data/images/000000005595.jpg,168,269,249,381,bird
./data/images/000000005595.jpg,138,255,228,430,bird
./data/images/000000005595.jpg,90,336,141,457,bird
./data/images/000000005595.jpg,87,382,137,497,bird
./data/images/000000005595.jpg,86,406,156,594,bird
./data/images/000000005595.jpg,142,363,237,474,bird
./data/images/000000005595.jpg,159,540,346,612,bird
./data/images/000000005595.jpg,150,487,185,549,bird
./data/images/000000005595.jpg,137,465,230,513,bird
./data/images/000000005694.jpg,58,69,343,473,bird
./data/images/000000005706.jpg,290,158,444,252,bird
./data/images/000000005907.jpg,281,298,381,406,bird
./data/images/000000005907.jpg,497,313,607,417,bird
./data/images/000000005907.jpg,437,252,529,338,bird
./data/images/000000005907.jpg,577,249,632,290,bird
./data/images/000000005907.jpg,75,190,114,223,bird
./data/images/000000005907.jpg,1,142,32,193,bird
./data/images/000000005907.jpg,379,171,406,218,bird
./data/images/000000005907.jpg,83,205,109,270,bird
./data/images/000000005907.jpg,66,112,95,137,bird
./data/images/000000005907.jpg,271,173,301,208,bird
./data/images/000000005907.jpg,16,88,40,106,bird
./data/images/000000005907.jpg,326,206,377,283,bird
./data/images/000000005907.jpg,401,260,444,310,bird
./data/images/000000005907.jpg,114,161,166,214,bird
./data/images/000000005907.jpg,342,131,370,157,bird
./data/images/000000005907.jpg,1,4,297,312,bird
./data/images/000000006066.jpg,197,181,213,196,bird
./data/images/000000006066.jpg,233,125,256,153,bird
./data/images/000000006066.jpg,257,157,276,176,bird
./data/images/000000006066.jpg,333,213,350,225,bird
./data/images/000000006066.jpg,307,245,330,270,bird
./data/images/000000006066.jpg,277,256,298,287,bird
./data/images/000000006066.jpg,113,198,131,217,bird
./data/images/000000006066.jpg,193,234,212,251,bird
./data/images/000000006066.jpg,339,150,361,176,bird
./data/images/000000006066.jpg,272,127,293,146,bird
./data/images/000000006066.jpg,262,118,279,134,bird
./data/images/000000006066.jpg,230,96,250,111,bird
./data/images/000000006066.jpg,178,142,197,172,bird
./data/images/000000006066.jpg,296,288,315,308,bird
./data/images/000000006066.jpg,322,226,340,245,bird
./data/images/000000006066.jpg,15,112,449,282,bird
./data/images/000000006709.jpg,80,126,94,137,bird
./data/images/000000006709.jpg,93,131,106,147,bird
./data/images/000000006709.jpg,103,134,113,145,bird
./data/images/000000006709.jpg,125,136,139,151,bird
./data/images/000000006709.jpg,150,134,157,147,bird
./data/images/000000006709.jpg,173,131,190,146,bird
./data/images/000000006709.jpg,16,131,23,143,bird
./data/images/000000006709.jpg,15,158,27,171,bird
./data/images/000000006709.jpg,341,158,352,182,bird
./data/images/000000006709.jpg,164,140,172,148,bird
./data/images/000000006709.jpg,4,137,16,144,bird
./data/images/000000006709.jpg,82,137,90,144,bird
./data/images/000000006709.jpg,173,146,184,154,bird
./data/images/000000006709.jpg,1,132,144,151,bird
./data/images/000000006914.jpg,187,65,432,338,bird
./data/images/000000006914.jpg,0,88,559,467,bird
./data/images/000000007048.jpg,375,216,411,278,bird
./data/images/000000007048.jpg,300,214,377,288,bird
./data/images/000000007048.jpg,493,236,533,298,bird
./data/images/000000007048.jpg,113,237,169,308,bird
./data/images/000000007048.jpg,182,225,222,278,bird
./data/images/000000007267.jpg,61,163,327,549,bird
./data/images/000000007325.jpg,92,344,116,377,bird
./data/images/000000007627.jpg,498,174,527,189,bird
./data/images/000000007627.jpg,368,225,381,237,bird
./data/images/000000007954.jpg,389,173,420,227,bird
./data/images/000000007954.jpg,354,166,380,198,bird
./data/images/000000007954.jpg,307,148,332,209,bird
./data/images/000000007954.jpg,260,140,285,199,bird
./data/images/000000007954.jpg,102,132,126,160,bird
./data/images/000000007954.jpg,174,54,216,81,bird
./data/images/000000007954.jpg,43,128,75,156,bird
./data/images/000000007954.jpg,3,121,34,157,bird
./data/images/000000007954.jpg,219,140,247,171,bird
./data/images/000000007954.jpg,156,133,188,161,bird
